Прізвище;Ім'я;По-батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Сацюк;Ярослава;Юріївна;Жінка;1996-09-19;Дантист;місто Бахмач;сквер Гвоздичний, буд. 244, Щолкіне, 25885;+380 62 107-92-93;bezborodkyerika@example.org
Ватаманюк;Володимира;Олександрівна;Жінка;1940-02-28;Провізор;хутір Старокостянтинів;проспект Макова, буд. 2 кв. 05, Федорівка, 28818;059 328 61 86;hordii88@example.com
Бабариченко;Едита;Андріївна;Жінка;1964-07-26;Дипломат;місто Сквира;парк Каманіна, буд. 842 кв. 4, Сокиряни, 80283;+380 (84) 549-75-50;cstets@example.com
Андрейко;Федір;Георгійович;Чоловік;1945-01-04;Електрик;село Львів;парк Садовського, буд. 6, Кам'янець-Подільський, 43550;+380 (67) 026-86-06;heorhiishmorhun@example.com
Євдокименко;Трохим;Євгенович;Чоловік;1958-07-14;Локсмайстер;хутір Дубровиця;вулиця Тюльпанний, буд. 1 кв. 368, Ківерці, 39956;+380 52 855-62-66;riaboshapkadan@example.com
Гаєвський;Пріска;Ярославівна;Жінка;1958-03-10;Педагог;селище Липовець;набережна Прохоровська, буд. 54, Фастів, 07363;492-98-27;dshmorhun@example.com
Фесенко;Семен;Євгенович;Чоловік;1947-10-24;Адвокат;селище Чуднів;вулиця Балківська, буд. 37, Черкаси, 49931;521-07-14;fbaranets@example.com
Василечко;Борислав;Васильович;Чоловік;1989-01-20;Стропальник;село Заліщики;провулок Балтський 5-й, буд. 4 кв. 98, Бахмут, 42179;+380 (26) 055-49-38;sofiia74@example.com
Колісниченко;Михайло;Вікторович;Чоловік;1986-11-16;Актор;село Сокиряни;парк Молодогвардійська, буд. 22, Сквира, 06746;051 087-57-27;eduard15@example.org
Лукаш;Опанас;Іванович;Чоловік;1944-05-04;Фотограф;село Андрушівка;узвіз Володимира Хавкіна, буд. 761, Кобеляки, 60470;660 21 51;spasatamanchuk@example.net
Жук;Климент;Васильович;Чоловік;2006-03-13;Електромонтер;місто Таврійськ;парк Бориса Літвака, буд. 73, Скадовськ, 56616;939-72-94;hannasirchenko@example.net
Матяш;Віталій;Георгійович;Чоловік;1974-01-12;Зоолог;село Жданівка;провулок Ляпідевського, буд. 0 кв. 224, Макіївка, 60704;450-16-70;fhavriushenko@example.com
Слюсар;Прохір;Дмитрович;Чоловік;1941-01-12;Підприємець;селище Сокиряни;шосе Салтикова-Щедріна, буд. 67 кв. 216, Голубівка, 84240;377-39-25;marko40@example.org
Короленко;Болеслав;Аркадійович;Чоловік;1978-05-18;Соціолог;хутір Новий Калинів;узвіз Лейтенанта Шмідта, буд. 115 кв. 442, Копичинці, 01253;+380 29 126-18-77;zynovii94@example.net
Голобородько;Валентин;Ярославович;Чоловік;1948-06-13;Акушер;хутір Славута;парк Іцхака Рабіна, буд. 928 кв. 648, Белз, 96280;+380 98 157-85-86;veniiamynredko@example.com
Бабійчук;Ярина;Михайлівна;Жінка;1941-09-01;Дерун;хутір Коломия;набережна Вапняний 1-й, буд. 78 кв. 80, Моршин, 72996;+380 66 671 86 03;vira21@example.net
Черненко;Ольга;Сергіївна;Жінка;1953-11-26;Детектив;хутір Антрацит ;парк Жоліо-Кюрі, буд. 7, Нікополь, 57136;606 38 24;varvarahavriushenko@example.net
Бевзенко;Марина;Іванівна;Жінка;1986-10-03;Музикант;місто Селидове;шосе Сурикова 1-й, буд. 93 кв. 908, Мала Виска, 95999;695 31 26;azar48@example.net
Гоголь;Прохір;Тимофійович;Чоловік;1943-08-16;Педагог;хутір Зеленодольськ;набережна Лиманчик 2-й Лінія 5-та, буд. 763 кв. 0, Кипуче, 68263;+380 (32) 298-89-40;daryna74@example.net
Уманець;Камілла;Володимирівна;Жінка;2007-12-01;Акушер;хутір Хмільник;шосе Сортувальна 2-га, буд. 91, Жданівка, 22438;325-73-92;oksana36@example.com
Ільченко;Єфрем;Євгенович;Чоловік;1956-11-07;Кінорежисер;селище Курахове;узвіз Садова, буд. 060 кв. 316, Калуш, 54134;245 61 06;sofiia87@example.org
Кащенко;Василина;Сергіївна;Жінка;1940-03-25;Палеонтолог;село Устилуг;сквер Наявний 5-й, буд. 5 кв. 506, Світловодськ, 60552;+380 04 239-67-60;fomenkosviatoslava@example.com
Бабич;Гордій;Михайлович;Чоловік;1945-04-24;Мірошник;хутір Самбір;вулиця Зелена, буд. 2 кв. 5, Ялта, 34486;+380 67 846-26-10;adam40@example.net
Романчук;Оксана;Ярославівна;Жінка;1966-01-31;Професор;селище Сокаль;вулиця Героїв Небесної Сотні, буд. 1, Суходільськ, 03110;053 203 95 33;varvara09@example.org
Шведченко;Стефан;Євгенович;Чоловік;1958-03-27;Географ;хутір Українськ;узвіз Косовський, буд. 8 кв. 14, Здолбунів, 71961;+380 (36) 359-44-87;tshynkarenko@example.org
Чередник;Едита;Євгенівна;Жінка;1963-03-20;Хімік;село Горішні Плавні;площа Проектований 4-й, буд. 9, Збараж, 08364;+380 09 257 48 73;aaronudovenko@example.org
Гук;Сніжана;Вікторівна;Жінка;1965-06-04;Штукатур;хутір Хоростків;вулиця Перша, буд. 8 кв. 6, Алчевськ, 16372;+380 (26) 126-67-02;zakhargzhytskyi@example.net
Харченко;Василина;Ярославівна;Жінка;1964-08-11;Реабілітолог;село Южноукраїнськ;сквер Скрипковий, буд. 20, Нове Давидково, 81246;202-28-16;ravdieienko@example.com
Ірванець;Оксенія;Сергіївна;Жінка;1991-01-23;Бібліограф;хутір Мар'їнка;узвіз Кленова, буд. 46, Заліщики, 44282;066 268-27-69;mviter@example.net
Тимченко;Франц;Володимирович;Чоловік;2001-08-19;Паблік рилейшнз;місто Ірміно;площа Обривиста, буд. 27 кв. 089, Бахмут, 58005;875 73 77;yradchenko@example.net
Штокало;Едуард;Михайлович;Чоловік;1992-10-28;Дантист;село Гайворон;парк Марії Демченко 2-й, буд. 2 кв. 39, Скадовськ, 14471;+380 (79) 380-63-78;atroshchenkomarta@example.com
Михайлюк;Богодар;Дмитрович;Чоловік;1977-12-02;Гірничий інженер;селище Сорокине;набережна Волниста, буд. 924 кв. 557, Перемишляни, 85605;046 330 75 48;oresttsisyk@example.com
Якименко;Феофан;Іванович;Чоловік;1976-04-23;Ді-джей;село Семенівка;шосе Східчастий 3-й, буд. 6 кв. 49, Червоносів, 75992;+380 (23) 084-97-41;klyment85@example.org
Бандура;Еріка;Сергіївна;Жінка;1950-04-07;Модельєр;хутір Бунге ;шосе Берегова, буд. 050, Дубляни, 93455;040 461-32-27;klavdiiabaran@example.net
Романенко;Валерій;Євгенович;Чоловік;1972-06-05;Електрик;селище Боярка;вулиця Академіка Богатського, буд. 1 кв. 8, Привілля, 61575;+380 (38) 870-09-62;liudmylaromanenko@example.net
Цушко;Георгій;Іванович;Чоловік;1957-11-16;Фармацевт;селище Рава-Руська;парк Розкидайлівська, буд. 6 кв. 0, Погребище, 20080;+380 (19) 059-87-86;tereshchenkomartyn@example.net
Бараник;Надія;Дмитрівна;Жінка;2008-08-24;Слідчий;місто Лубни;набережна Гена Іоганна, буд. 1, Новий Розділ, 15425;+380 40 483-09-61;lmishchenko@example.net
Романенко;Семен;Анатолійович;Чоловік;1961-02-11;Математик;село Олександрія;провулок Шолохова, буд. 70, Вараш, 21469;+380 69 469-11-63;ihnat73@example.net
Дараган;Анастасія;Ярославівна;Жінка;1953-10-19;Вчитель;селище Лебедин;провулок Шилова, буд. 118, Яворів, 41717;+380 16 896-42-54;nazarenkoliudmyla@example.net
Ярема;Марія;Тимофіївна;Жінка;1990-06-08;Архітектор;селище Барвінкове;узвіз Шептицікого, буд. 86 кв. 63, Вараш, 91121;078 02 97;irena19@example.net
